City,Center,Date,Year,Month,Season,PM1_0,PM2_5,PM10,Temperature_F,Humidity_%,AQI,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
Mandalay,19th Street,10/31/2020 0:00,2020,October,Rainy Season,24.17,,38.6,92.28,55.02,97.16,1093,51496,20,1219
Yangon,7 Miles Mayangone,10/31/2020 0:00,2020,October,Rainy Season,8.42,,12.54,88.71,70.85,48.58,1093,51496,20,1219
Yangon,Ahlone Myanmar Center for Responsible Business,10/31/2020 0:00,2020,October,Rainy Season,10.1,,15.08,89.14,61.14,54.36,1093,51496,20,1219
Yangon,American Center,10/31/2020 0:00,2020,October,Rainy Season,12.42,,21.43,86.36,71.37,66.14,1093,51496,20,1219
Yangon,Beca Myanmar (Outside),10/31/2020 0:00,2020,October,Rainy Season,14.73,,23.84,86.49,73.46,71.1,1093,51496,20,1219
Yangon,GEMS Condo,10/31/2020 0:00,2020,October,Rainy Season,11.79,,18.06,87.88,62.92,60.97,1093,51496,20,1219
Mandalay,Jefferson Center,10/31/2020 0:00,2020,October,Rainy Season,10.97,,20.28,90.08,59.51,61.52,1093,51496,20,1219
Yangon,Star City Dulwich College,10/31/2020 0:00,2020,October,Rainy Season,10.14,,15.92,87.48,73.23,56.4,1093,51496,20,1219
Yangon,Thin Gan Gyun Yangon International School (Outside),4/16/2020 0:00,2020,April,Hot Season,32.37,,44.7,97.09,44.57,115.48,11,85,0,4
Yangon,UNOPS Myanmar,10/31/2020 0:00,2020,October,Rainy Season,21.72,,33.42,85.09,69.02,88.64,1093,51496,20,1219
Yangon,WWF-Myanmar,10/31/2020 0:00,2020,October,Rainy Season,14.41,,22.53,85.7,70.89,68.75,1093,51496,20,1219
Yangon,Yangon-HO,10/31/2020 0:00,2020,October,Rainy Season,15.64,,25.99,85.09,70.11,75.71,1093,51496,20,1219
Yangon,YIS Grade 4 C (Inside),10/31/2020 0:00,2020,October,Rainy Season,11.69,,16.64,94.6,49.56,58.65,1093,51496,20,1219
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
